// Reference=MNI
// Booth et al., 2006 VERBAL VISUAL Semantic decision > phonological (rhyme)
// Subjects=13
-39	-57	18
-24	-3	48
-36	42	-21

// Demonet et al., 1992 VERBAL AUDITORY Words > Phonemes
// Subjects=9
-48	-55	42
-50	-55	38
-50	-55	33
-20	38	41
-20	37	37
-18	39	32
-1	-60	28
-1	-60	24
-42	-41	-18

// Devlin et al., 2003 VERBAL VISUAL Semantic decision > phonol
// Subjects=12
-10	52	-8
-14	44	-8
-20	30	48
-42	-66	28
-4	-56	28
8	-82	-28

// Fletcher et al., 1995 VERBAL VISUAL Story > unrelated Sent
// Subjects=6
-12	50	35
-47	21	-24
48	19	-25
6	-65	15
-46	-58	24
-42	17	-19
48	17	-25
-1	-64	11
-44	-65	21

// Gesierich et al., 2012 nonverbal VISUAL Familiar > unfamiliar/scrambled faces
// Subjects=21
-3	-54	12
-12	6	6
-9	-6	6
-3	-36	30
-39	27	6
18	21	-3
-36	33	-12
-39	15	-33
-33	-72	39
-60	-6	-18
60	-3	-15
-3	60	-9
45	-66	30
-21	57	0
-54	-39	-6
18	-45	-9
36	-12	-18
48	6	-27
42	-51	-24
42	-78	-12
45	-53	15
-3	-54	15
-21	-6	-12
-6	-9	3
24	-6	-15
33	-12	-18
-12	9	6
-30	-15	-15
12	12	6
-45	24	21
-42	-72	-18
-42	-81	-15
-36	-75	42
33	33	-12
-39	12	-33
54	-9	-21
-57	-6	-18
6	42	-18
36	12	-33
45	24	21

// Gitelman et al., 2005 VERBAL VISUAL sem>control, inc masked by phono + orth
// Subjects=14
-15	-36	66
-12	30	42
-24	12	39
-24	21	36
-51	27	-3
-48	15	9
-54	27	24
-9	15	60
-39	-54	24
-48	12	-15
-42	0	-42
-57	-45	3
48	-15	-18
51	-9	-9
-51	-15	-9
24	-72	-3
15	-87	21
-15	-45	-36
6	-54	-33
27	-78	-42
15	-81	-36

// Gourovitch et al., 2000 VERBAL VISUAL (CUES) Semantic generation > pho
// Subjects=18
-1	69	2
-25	-15	-21
-1	35	-17
-8	35	-17
-57	-24	-24
47	-65	15

// Homae et al., 2003 VERBAL AUDITORY Auditory sentences> jumbled aka Sa>Pa
// Subjects=10
-51	27	-6
-45	15	48
-63	-36	-6
63	-36	-3
-57	-54	27

// Homae et al., 2003 VERBAL VISUAL visual sentences> jumbled aka Sv>Pv
// Subjects=10
-45	24	-9
-57	24	12
-42	24	48
-60	-54	12
66	-36	-3
-48	-54	30

// Kotz et al., 2002 VERBAL AUDITORY Words > pseudowords
// Subjects=13
-24	15	-5
-33	9	5
-14	14	0
-46	-67	23
-56	-44	37
-37	-61	38
54	-50	9

